Data transação;CNPJ;Emitente;Descrição;docto;Natureção oper;Imposto;Vencimento;Tipo imp;Cod ret;Aliq;Valor imposto;Total NF
26/02/04;278;02722578000187;ELM REPRESENTACAO COMERCIAL LTDA;ELM;0000082;294902;0;03/03/04;IRPF;1708;1,5;755,88;50392,14
23/09/05;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0005381;193302;0;03/10/05;IRPF;0;3;15;500
14/10/05;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0005349;193302;0;02/11/05;IRPF;0;3;15;500
19/12/05;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0005495;193302;0;10/01/06;IRPF;0;3;15;500
20/12/05;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003009;193302;0;10/01/06;IRPF;0;3;4,5;150
20/12/05;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0049111;293301;0;06/01/06;IRPF;5979;,65;33,77;5195
20/12/05;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0049111;293301;0;06/01/06;IRPF;5987;1;51,95;5195
20/12/05;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0049111;293301;0;06/01/06;IRPF;5960;3;155,85;5195
20/12/05;1140;40379380000131;CONSTRUTORA DE OBRAS RJ WAGNER;RJ WAGNER;0000046;193302;0;02/01/06;IRPF;2631;11;112,4;1021,82
20/12/05;1140;40379380000131;CONSTRUTORA DE OBRAS RJ WAGNER;RJ WAGNER;0000046;193302;0;10/01/06;IRPF;0;2;20,44;1021,82
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050707;293301;0;20/01/06;IRPF;5960;3;97,78;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050707;293301;0;20/01/06;IRPF;5979;,65;21,19;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050707;293301;0;20/01/06;IRPF;5987;1;32,59;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050708;293301;0;20/01/06;IRPF;5987;1;32,59;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050708;293301;0;20/01/06;IRPF;5960;3;97,78;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050708;293301;0;20/01/06;IRPF;5979;,65;21,19;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050709;293301;0;20/01/06;IRPF;5960;3;97,78;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050709;293301;0;20/01/06;IRPF;5987;1;32,59;3259,5
16/01/06;392;56545742000157;DIMENSIONAL EQUIPAMENTOS ELETRICOS LTDA;DIMENSIONAL;0050709;293301;0;20/01/06;IRPF;5979;,65;21,19;3259,5
07/02/06;309;00296168000196;ENVLAB LABORATÓRIOS S/C LTDA;ENVLAB;0004036;193302;0;10/03/06;IRPF;1708;1,5;14,62;975
17/02/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0002800;293301;0;02/03/06;IRPF;2631;11;147,92;2689,46
17/02/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0002804;293302;0;02/03/06;IRPF;2631;11;42,95;780,81
09/03/06;1140;40379380000131;CONSTRUTORA DE OBRAS RJ WAGNER;RJ WAGNER;0000051;193302;0;10/04/06;IRPF;0;2;27,6;1380,15
09/03/06;1140;40379380000131;CONSTRUTORA DE OBRAS RJ WAGNER;RJ WAGNER;0000051;193302;0;02/04/06;IRPF;2631;11;151,82;1380,15
13/03/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003043;193302;0;10/04/06;IRPF;0;2;14;700
24/03/06;1230;02012711000101;L.P. DOIN CULTURA LAZER E MKT LTDA.;BTS;0000084;293302;0;10/04/06;IRPF;1708;1,5;45;3000
27/03/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0003056;293301;0;03/04/06;IRPF;2631;11;295,84;2689,46
29/03/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0003084;293301;0;07/04/06;IRPF;2631;11;255,43;4644,12
07/04/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003058;193302;0;10/05/06;IRPF;0;2;8,8;440
12/04/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0003207;293301;0;02/05/06;IRPF;2631;11;147,92;2689,46
02/05/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0003368;293301;0;02/05/06;IRPF;2631;11;316,77;5759,52
12/05/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0003403;293301;0;02/06/06;IRPF;2631;11;295,84;2689,46
15/05/06;389;35793033000463;ESTADO DA ARTE INF E TECNOLOGIA LTDA;ESTADO ARTE;0005432;193302;0;09/06/06;IRPF;1708;1,5;12,3;820
17/05/06;1286;00153324000160;VERSAO BRASILEIRA TLDA;VERSAO;0000595;193302;0;09/06/06;IRPF;1708;1,5;18,62;1241,1
01/06/06;207;77679686000113;PRAXAIR SURFACE TECHNOLOGIES DO BRASIL LTDA;PRAXAIR;0048216;193301;0;21/06/06;IRPF;5952;1;380,73;40010,08
01/06/06;207;77679686000113;PRAXAIR SURFACE TECHNOLOGIES DO BRASIL LTDA;PRAXAIR;0048216;193301;0;21/06/06;IRPF;5952;,65;247,48;40010,08
01/06/06;207;77679686000113;PRAXAIR SURFACE TECHNOLOGIES DO BRASIL LTDA;PRAXAIR;0048216;193301;0;21/06/06;IRPF;5952;3;1142,21;40010,08
09/06/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0003584;293301;0;03/07/06;IRPF;2631;11;147,92;2689,46
21/06/06;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0005825;193302;0;10/07/06;IRPF;3;2;5,6;280
23/06/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003103;193302;0;10/07/06;IRPF;3;3;20,7;690
28/06/06;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0005828;193302;0;10/07/06;IRPF;3;2,5;6,5;260
11/08/06;610;78234234000190;LAVITTA ENGENHARIA CIVIL LTDA;LAVITTA;0010937;193302;0;10/09/06;IRPF;3;2;679,61;33980,34
14/08/06;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0005961;193302;0;10/09/06;IRPF;3;2;45;2250
11/09/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0004528;293301;0;10/10/06;IRPF;3;3;80,68;2689,46
11/09/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0004528;293301;0;02/10/06;IRPF;2631;11;147,92;2689,46
20/09/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003143;193302;0;10/10/06;IRPF;3;3;10,2;340
09/10/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003179;193302;0;10/11/06;IRPF;3;3;9;300
16/10/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0004768;193301;0;02/11/06;IRPF;2631;11;147,92;2689,46
16/10/06;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0004768;193301;0;10/11/06;IRPF;3;3;80,68;2689,46
26/10/06;309;00296168000196;ENVLAB LABORATÓRIOS S/C LTDA;ENVLAB;0004906;193302;0;10/11/06;IRPF;1708;1,5;14,63;975
31/10/06;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0006212;193302;0;10/11/06;IRPF;3;2;7;350
20/11/06;207;77679686000113;PRAXAIR SURFACE TECHNOLOGIES DO BRASIL LTDA;PRAXAIR;0050315;155101;0;21/11/06;IRPF;5952;1;380,73;40010,08
20/11/06;207;77679686000113;PRAXAIR SURFACE TECHNOLOGIES DO BRASIL LTDA;PRAXAIR;0050315;155101;0;21/11/06;IRPF;5952;3;1142,21;40010,08
20/11/06;207;77679686000113;PRAXAIR SURFACE TECHNOLOGIES DO BRASIL LTDA;PRAXAIR;0050315;155101;0;21/11/06;IRPF;5952;,65;247,48;40010,08
28/11/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003208;193302;0;08/12/06;IRPF;3;3;36;1200
04/12/06;167;80519705000159;LUIZ DE JESUS CORDEIRO;LIMPA FOSSA;0003216;193302;0;10/01/07;IRPF;3;3;3,9;130
19/12/06;944;85030617000102;RUBENS MARTINS - PINTURAS;RUBENS MARTI;0001092;193302;0;10/01/07;IRPF;3;2;70;3500
19/12/06;944;85030617000102;RUBENS MARTINS - PINTURAS;RUBENS MARTI;0001092;193302;0;03/01/07;IRPF;2631;11;385;3500
04/01/07;1061;79790077000162;NEURI ANTONIO PESSAIA - EPP;ABAITI;0006354;193302;0;09/02/07;IRPF;3;3;22,5;750
11/01/07;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0005300;293301;0;15/01/07;IRPF;5952;3;209,29;6976,32
11/01/07;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0005300;293301;0;15/01/07;IRPF;5952;1;69,76;6976,32
11/01/07;1222;02996111000206;NEOTEX SOLUCOES AMBIENTAIS LTDA;NEOTEX;0005300;293301;0;02/02/07;IRPF;2631;11;383,7;6976,32
